tweet_text,created_at,n_words,party
I think @HumaAbedin should be ashamed that she didn't stand by her pervert husband like @HillaryClinton did. #StrongWomen,2016-08-30 14:41:22,6,Dem
@HillaryClinton @Comeridethwhale so are you! trump &amp; your stupid ass are different sides of the same coin,2016-08-30 14:41:28,7,Dem
"@BrinckJeff @POTUS @BarackObama What money is Obama using to bring refugees here ??? How much ??? PROVIDE EVIDENCE, PROOF and TRUTH !!!",2016-08-30 14:41:31,10,Dem
"August most violent month in Chicago in nearly 20 years 

@potus @LorettaLynch @HillaryClinton All Silent....

https://t.co/gKQM6DTnmh",2016-08-30 14:41:32,8,Dem
@HillaryClinton https://t.co/pgck0ifrzC atleast @realDonaldTrump doesn't hide like a coward with a guilty conscience,2016-08-30 14:41:33,6,Dem
"Working people: @HillaryClinton, not @realDonaldTrump, is the clear choice for president: https://t.co/ToMsaHGJ4f via @AFLCIO #p2 #1uvote",2016-08-30 14:41:33,7,Dem
"@FoxNews no, @JohnKerry the media needs 2 stop covering u &amp; ur inane comments. 1st @HillaryClinton &amp; now u, difficult 2 decide which 1 worse",2016-08-30 14:41:34,18,Dem
#NYTimes getting a quote from #Trump on how #Weiner divorce is impacting #HillaryClinton presidency shows their paper is now a tabloid,2016-08-30 14:41:36,8,Dem
@BarackObama has no problem saying that police are the problem but can't even muster the courage to say radical islam. Pathetic leader,2016-08-30 14:41:37,13,Dem
@Deathc0de @JamesPMorrison @HillaryClinton sure he was! @BernieSanders filed as a conscientious objector @billclinton nevr did played system,2016-08-30 14:41:37,7,Dem
@craigmelvin Is it a crime now for @HillaryClinton to raise money for her campaign and Democrat party? Check connection on #Trump &amp; Russia!,2016-08-30 14:41:37,10,Dem
@Reince @HillaryClinton SO why do YOU care? Keep your FLIP FLOPPER on message! and stop worrying about Hillary I get it your man is loosing,2016-08-30 14:41:38,11,Dem
"@sarahleahwolfe @finkd @MSNBC @HillaryClinton Well, she had him in the barricaded apartment while shooting at cops. Mother of the year.",2016-08-30 14:41:40,7,Dem
Won't help her really. If @SenSanders begged me personally to vote 4 her I would say we need a total system reboot https://t.co/FWyIQXSazI,2016-08-30 14:41:41,12,Nothing
.@HillaryClinton We need federal laws for severe animal abuse &amp; it should be a felony. https://t.co/NL3Hbo6wIE … https://t.co/646dcvIm3y,2016-08-30 14:41:41,8,Dem
Example of one of (many) reasons Portman continues to lead Strickland by healthy margin. https://t.co/s5U4hP3mmp,2016-08-30 14:41:42,10,Nothing
@realDonaldTrump see even he saying the media and journalist lie about shit and it true https://t.co/HhO5Dh4ujW,2017-02-17 08:46:52,8,Rep
"@ChicagoMGD @realDonaldTrump 
Haha he lives in a world where if he's accusing someone of something sure as shit HE'S guilty of it",2017-02-17 08:48:36,9,Rep
"Accidentally stumbled upon a 'popping' vid, the stuff coming out of the pimple was more articulate than @realDonaldTrump was today",2017-02-17 08:48:53,10,Rep
@realDonaldTrump I hope your tax plan roll out is a plan to roll out your tax returns. Oh burn! Like your face looks burned w bad orange,2017-02-17 08:49:05,17,Rep
@realDonaldTrump where is your psych evaluation?  You need serious professional help #mentalillness,2017-02-17 11:51:36,6,Rep
@realDonaldTrump that's the point you're at? Rush Limbaugh? Tick tock..,2017-02-17 11:51:38,5,Rep
@realDonaldTrump Listening to Rush and @foxandfriends is not going to let you get feel of the % of America that did… https://t.co/Sm8z2qskXt,2017-02-17 11:51:50,8,Rep
@realDonaldTrump Thank you for all the nice statements on the B-H Conference yesterday. Boba said one of the best ever! Fake B-Hs not happy!,2017-02-17 11:51:59,17,Rep
@peddoc63 @realDonaldTrump enjoy reading your tweets very smart and informative😄🇺🇸,2017-02-17 11:52:00,5,Rep
@Channel4News @BBCNewsnight are not happy. Why are UK public broadcasters so obsessed with someone else's President… https://t.co/I91gpoL9Pf,2017-02-17 11:52:07,9,Nothing
@VicenteFoxQue @realDonaldTrump 🦊=🐷 part of the mess is all of 🇲🇽 criminals that 🇲🇽 won't take back you are a drug cartel puppet BIG MOUTH,2017-02-17 11:52:24,10,Rep
We don't see or feel any tiny change since Trump over took except crisis on passengers. Just talk. Americans expect… https://t.co/SePupzG0VA,2017-02-17 11:52:29,13,Rep
