tweet_text,created_at,n_words
"#Trump: As a student I used to hear for years, for ten years, I heard China! In 2019! And we have 1.5 and they don't know how many we have and I asked them how many do we have and they said 'sir we don't know.' But we have millions. Like 300 million.

Um. What?",2020-10-15 00:00:02,23
2 hours since last tweet from #Trump! Maybe he is VERY busy. Tremendously busy.,2020-10-15 00:00:02,9
"@CLady62 Her 15 minutes were over long time ago. Omarosa never represented the black community! #TheReidOut 

She cried to #Trump begging for a job!",2020-10-15 00:00:17,13
@DeeviousDenise @realDonaldTrump @nypost There won’t be many of them.  Unless you all have been voting more than once again.  But God prevails.  BO was the most corrupt President ever.  Dark to light.  Your lies are all coming through.  They wouldn’t last forever. #Trump,2020-10-15 00:00:18,15
One of the single most effective remedies to eradicate another round of #Trump Plague in our #WhiteHouse. https://t.co/QGB9ODIVS8,2020-10-15 00:00:20,8
"""IS THIS WRONG??!!"" Cory Booker's BRILLIANT Final Questioning of Trump Nominee Amy Coney Barrett https://t.co/gCTvVLl4CS
#AmyConeyBarrett #CoryBooker #Barrett #Booker #Trump #KamalaHarris #JoeBiden #SCOTUS #SupremeCourtConfirmation",2020-10-15 00:00:23,11
"In 2020, #NYPost is being #censorship #CENSORED by Twitter to manipulate a US election in favor of #JoeBiden and against #Trump.

but CCP from #China or porn on Twitter? 

That’s always been fine for @jack @vijaya @dickc @KatieS.

@marciadorsey is @jack sick?",2020-10-15 00:00:25,12
►► Tell Politicians to STICK IT with this FREE Item! ►► https://t.co/sua2FPNJTS ►► #2020 #Biden #Deomocrat #Election #Politician #Politics #President #Republican #Trump #VPDebate ►► @FreebieDepot https://t.co/QTRW3eMtd0,2020-10-15 00:00:31,5
"@meiselasb I wonder which drugs #Trump takes?🤪

That's not only masses of burgers🍔🍔🍔

Maybe he's still on his #dexamethasone high🎃

Currently high.

But in November at the latest he'll be low😩
#TrumpCovid19
#TrumpIsALaughingStock
#TrumpIsALoser
#VoteHimOut

#VoteBlueToEndThisNightmare https://t.co/Xyk2GuJM8Y",2020-10-15 00:00:42,14
"Now Open! Create a FREE U.S. Election Pick'em Pool. Add some excitement to the potential chaos. Pick who you think will become President, who will win the Swing States, the popular vote, and more!
🇺🇲https://t.co/W6FKnaXVMT
#MAGA2020 #Trump #Biden #Politics #USElection2020 https://t.co/NwNfiZsy53",2020-10-15 00:00:44,21
"@cnnbrk #Trump owes #RicardoAguirre $730,000 to pay for the mass murder of his family. #TrumpLiedPeopleDied @FauciFan",2020-10-15 00:01:08,7
#Democrats have spent more #tax #payer #paid #time &amp; #money on #chasing &amp; #attacking #TRUMP #not #doing #their #jobs #serving the #public as #elected #USA #NO GOOD REASON'S NOT TO #ECONOMICALLY #BAIL #PEOPLE OUT &amp; #PROTECT THEM TOO AS YOU TOOK #OATH TOO. #USA https://t.co/bRMhvloyKt,2020-10-15 00:01:10,8
"When you know you can put people in their graves and get away with it, you go to #Trump  rallies, mask-less. Like canned sardines.

#COVID19 #SuperSpreader #TrumpRally
#TrumpRallyDesMoines #pandemic
#TrumpCovid19 https://t.co/yO7ZP9HHFo",2020-10-15 00:01:10,14
"#Trump: Nobody likes to tell you this, but some of the farmers were doing better the way I was doing it than they were by working their asses off.

And that check? It's totally in the mail, right Don?",2020-10-15 00:01:14,12
"@MarcInPhoenix @CIAspygirl #Trump
#Covid19
#TrumpLiesAmericansDie

Immunologist Florian Kramme, “#herdimmunity through natural infections is not a strategy, but an indication for the government’s malfunction to control a break out and to pay for this with lost lives.” 

https://t.co/ddEFm2Lqvj",2020-10-15 00:01:18,15
