text,created_at,n_words,bias-1,positive-1,figurative-0,offensive-1
"#Trump: As a student I used to hear for years, for ten years, I heard China! In 2019! And we have 1.5 and they don't know how many we have and I asked them how many do we have and they said 'sir we don't know.' But we have millions. Like 300 million.

Um. What?",2020-10-15 00:00:02,23,0.11405836790800095,3.880002e-05,0.5148556232452393,0.07835105806589128
2 hours since last tweet from #Trump! Maybe he is VERY busy. Tremendously busy.,2020-10-15 00:00:02,9,0.20844128727912906,0.10728983,0.6076298952102661,0.056623492389917374
"@CLady62 Her 15 minutes were over long time ago. Omarosa never represented the black community! #TheReidOut 

She cried to #Trump begging for a job!",2020-10-15 00:00:17,13,0.29544949531555176,0.0014720465,0.5717014074325562,0.11506067216396333
@DeeviousDenise @realDonaldTrump @nypost There won’t be many of them.  Unless you all have been voting more than once again.  But God prevails.  BO was the most corrupt President ever.  Dark to light.  Your lies are all coming through.  They wouldn’t last forever. #Trump,2020-10-15 00:00:18,15,0.6794635653495789,9.674175e-07,0.5224188566207886,0.8992428779602051
One of the single most effective remedies to eradicate another round of #Trump Plague in our #WhiteHouse. https://t.co/QGB9ODIVS8,2020-10-15 00:00:20,8,0.4229104518890381,0.0030566787,0.8976051211357117,0.06843021512031555
"""IS THIS WRONG??!!"" Cory Booker's BRILLIANT Final Questioning of Trump Nominee Amy Coney Barrett https://t.co/gCTvVLl4CS
#AmyConeyBarrett #CoryBooker #Barrett #Booker #Trump #KamalaHarris #JoeBiden #SCOTUS #SupremeCourtConfirmation",2020-10-15 00:00:23,11,0.3386691808700561,0.40228203,0.4968699812889099,0.011087574064731598
"In 2020, #NYPost is being #censorship #CENSORED by Twitter to manipulate a US election in favor of #JoeBiden and against #Trump.

but CCP from #China or porn on Twitter? 

That’s always been fine for @jack @vijaya @dickc @KatieS.

@marciadorsey is @jack sick?",2020-10-15 00:00:25,12,0.096080020070076,0.0015916092000000002,0.7780973315238953,0.9125347733497621
►► Tell Politicians to STICK IT with this FREE Item! ►► https://t.co/sua2FPNJTS ►► #2020 #Biden #Deomocrat #Election #Politician #Politics #President #Republican #Trump #VPDebate ►► @FreebieDepot https://t.co/QTRW3eMtd0,2020-10-15 00:00:31,5,0.243620440363884,0.03099173,0.5980514883995056,0.1448473334312439
"@meiselasb I wonder which drugs #Trump takes?🤪

That's not only masses of burgers🍔🍔🍔

Maybe he's still on his #dexamethasone high🎃

Currently high.

But in November at the latest he'll be low😩
#TrumpCovid19
#TrumpIsALaughingStock
#TrumpIsALoser
#VoteHimOut

#VoteBlueToEndThisNightmare https://t.co/Xyk2GuJM8Y",2020-10-15 00:00:42,14,0.1570338010787964,0.0058657667,0.9850329756736756,0.5783094763755798
"Now Open! Create a FREE U.S. Election Pick'em Pool. Add some excitement to the potential chaos. Pick who you think will become President, who will win the Swing States, the popular vote, and more!
🇺🇲https://t.co/W6FKnaXVMT
#MAGA2020 #Trump #Biden #Politics #USElection2020 https://t.co/NwNfiZsy53",2020-10-15 00:00:44,21,0.4474659264087677,0.6526132,0.4959251582622528,0.1299538016319275
"@cnnbrk #Trump owes #RicardoAguirre $730,000 to pay for the mass murder of his family. #TrumpLiedPeopleDied @FauciFan",2020-10-15 00:01:08,7,0.051635269075632095,0.0024356642,0.9498924016952516,0.5945256352424622
#Democrats have spent more #tax #payer #paid #time &amp; #money on #chasing &amp; #attacking #TRUMP #not #doing #their #jobs #serving the #public as #elected #USA #NO GOOD REASON'S NOT TO #ECONOMICALLY #BAIL #PEOPLE OUT &amp; #PROTECT THEM TOO AS YOU TOOK #OATH TOO. #USA https://t.co/bRMhvloyKt,2020-10-15 00:01:10,8,0.06497401744127274,0.8388521999999999,0.8606743216514587,0.1415589600801468
"When you know you can put people in their graves and get away with it, you go to #Trump  rallies, mask-less. Like canned sardines.

#COVID19 #SuperSpreader #TrumpRally
#TrumpRallyDesMoines #pandemic
#TrumpCovid19 https://t.co/yO7ZP9HHFo",2020-10-15 00:01:10,14,0.1347179114818573,0.00048273007000000005,0.15786227583885193,0.25778064131736755
"#Trump: Nobody likes to tell you this, but some of the farmers were doing better the way I was doing it than they were by working their asses off.

And that check? It's totally in the mail, right Don?",2020-10-15 00:01:14,12,0.14210090041160586,2.3106752000000002e-05,0.4565207958221436,0.7482969760894775
"@MarcInPhoenix @CIAspygirl #Trump
#Covid19
#TrumpLiesAmericansDie

Immunologist Florian Kramme, “#herdimmunity through natural infections is not a strategy, but an indication for the government’s malfunction to control a break out and to pay for this with lost lives.” 

https://t.co/ddEFm2Lqvj",2020-10-15 00:01:18,15,0.1951691955327988,0.014009513999999999,0.6367008090019226,0.2820351719856262
"@RudyGiuliani @Twitter @PressSec You right @RudyGiuliani Censorship should be Condemned 
Cc Trump and the GOP

Not the American way.

Now let's redo Trump's Impeachment this time without the CENSORSHIP...
#AmericaFirst #BidenCares #DonaldTrump #BidenWillCrushCovid #BidenHarris2020ToSaveAmerica https://t.co/MrOa2Cgsd0",2020-10-15 00:01:20,16,0.447344958782196,0.055641595,0.6039362549781799,0.4796589016914368
"@realDonaldTrump just quoted China’s Xu, Russia’s Putin and North Korea’s Kim as leaders who are 100%
No mention of leaders of Allied countries, this is the president of the USA? @CNN @andersoncooper 
#trump #TrumpIsUnfitForOffice",2020-10-15 00:01:22,16,0.09395869076251984,5.9213230000000006e-05,0.5069096684455872,0.08743669837713243
"Comments on this? ""Do Democrats Understand how Ruthless China is?"" https://t.co/QevK00yhs3 #China #HunterBiden #JoeBiden #BidenHarris #BidenHarris2020 #TrumpPence2020 #Trump #realDonaldTrump #WTO #coronavirus #trade https://t.co/Wjm1hyTFNZ",2020-10-15 00:01:23,5,0.2316756397485733,0.013000608,0.8361512422561646,0.18069517612457275
"SHAME on @NikkiHaley for her ridiculous ad for @LindseyGrahamSC -- saying he's fighting for others.  Lady G is ONLY fighting to retain power -- and he is SPINELESS when it comes to controlling #Trump. 

IT IS TIME FOR LINDESY TO GO!!! #SC #SouthCarolina #VoteJaimeHarrisonSC",2020-10-15 00:01:27,17,0.35389846563339233,0.0024286266,0.472043365240097,0.6893553733825684
